,nombre_artista,bio,listeners,playcount,similar
575,Santhali Diwana," <a href=""https://www.last.fm/music/Santhali+Diwana"">Read more on Last.fm</a>",29,78,"['Stephan Tudu', 'Raju Soren', 'Shivendra Murmu']"
576,Nirmala Kisku Soren," <a href=""https://www.last.fm/music/Nirmala+Kisku+Soren"">Read more on Last.fm</a>",4,15,[]
577,Gangadhar Bindhani," <a href=""https://www.last.fm/music/Gangadhar+Bindhani"">Read more on Last.fm</a>",35,192,"['SONAMANI PRODUCTION', 'Hara Rakab Production', 'Shiv Soren', 'Aman Murmu', 'Dingra Boyz']"
578,Suresh Wadkar,"Suresh Wadkar born In Kolhapur India. A student of Acharya Jialal Vasant. Started singing at the tender age of 10. 

In 1976, he won the Sur-Singar competition. This helped him gain entry into the Indian Film Industry. His first assignment was the popular song Seene Mein Jalan for the film Gaman (released in 1978). This was followed by the film Paheli (released 1977).

Hit songs with Laxmikant-Pyarelal like Chal Chameli in the film Krodhi (released 1981) <a href=""https://www.last.fm/music/Suresh+Wadkar"">Read more on Last.fm</a>",29080,275001,"['Anuradha Paudwal', 'Asha Bhosle', 'Lata Mangeshkar', 'Alka Yagnik', 'Udit Narayan']"
579,Kanchan Nagar," <a href=""https://www.last.fm/music/Kanchan+Nagar"">Read more on Last.fm</a>",244,745,"['Sandeep Surila', 'Ajay Hooda', 'SURENDER ROMIO', 'KD DESIROCK', 'Billa Sonipat Ala']"
580,A C Bhardwaj," <a href=""https://www.last.fm/music/A+C+Bhardwaj"">Read more on Last.fm</a>",96,220,"['Nati King Kuldeep Sharma', 'Ik Baaz', 'Loki Verma', 'vicky chauhan', 'Vicky Rajta']"
581,Papu Pom Pom," <a href=""https://www.last.fm/music/Papu+Pom+Pom"">Read more on Last.fm</a>",90,400,"['Humane Sagar', 'Abhijit Majumdar', 'Bijay Anand Sahu', 'Bunty R Samal', 'Mantu Chhuria']"
582,Debesh Pati," <a href=""https://www.last.fm/music/Debesh+Pati"">Read more on Last.fm</a>",25,69,"['Aseema Panda', 'Bijay Anand Sahu', 'Humane Sagar', 'Babushaan Mohanty', 'Mantu Chhuria']"
583,Golu Gold," <a href=""https://www.last.fm/music/Golu+Gold"">Read more on Last.fm</a>",80,249,"['Tuntun Yadav', 'Rakesh Mishra', 'Chandan Chanchal', 'Dhananjay Dhadkan', 'Samar Singh']"
584,Makk Makk," <a href=""https://www.last.fm/music/Makk+Makk"">Read more on Last.fm</a>",35,89,"['Manisha Sharma', 'Sahil Dhull', 'Amit Dhull', 'Jassi Kirarkot', 'Deep Sidhu']"
585,Roni Parau," <a href=""https://www.last.fm/music/Roni+Parau"">Read more on Last.fm</a>",2,7,[]
586,Gitali," <a href=""https://www.last.fm/music/Gitali"">Read more on Last.fm</a>",14,39,[]
587,Heidy Diana," <a href=""https://www.last.fm/music/Heidy+Diana"">Read more on Last.fm</a>",1792,8199,"['Hana Pertiwi', 'Chintami Atmanagara', 'Nani Sugianto', 'Ria Angelina', 'Mega Selvia']"
588,Biswajeet Sarkar," <a href=""https://www.last.fm/music/Biswajeet+Sarkar"">Read more on Last.fm</a>",31,175,"['ZdL', 'Pawan', 'Nitesh Kachhap', 'Manoj Shahri', 'Nagpuri Diwana']"
589,Namita Agrawal," <a href=""https://www.last.fm/music/Namita+Agrawal"">Read more on Last.fm</a>",338,4387,"['Kumar Bapi', 'Bhikhari Bala', 'Bhikari Bal', 'Humane Sagar', 'Ira Mohanty']"
590,Satrughan Luha," <a href=""https://www.last.fm/music/Satrughan+Luha"">Read more on Last.fm</a>",1,1,[]
591,Sars Bharti," <a href=""https://www.last.fm/music/Sars+Bharti"">Read more on Last.fm</a>",19,43,[]
592,Nibir X," <a href=""https://www.last.fm/music/Nibir+X"">Read more on Last.fm</a>",65,167,"['Debangaraj', 'Tavreed', 'Sannidhya Bhuyan', 'Nikhil Jyoti Sarma', 'Debabrata Gogoi']"
593,Kaysee," <a href=""https://www.last.fm/music/Kaysee"">Read more on Last.fm</a>",496,2652,"['Tonmoy Krypton', 'Shankuraj Konwar', 'Abhi Saikia', 'Sannidhya Bhuyan', 'Debabrata Gogoi']"
594,Aasif Sayar Mewati," <a href=""https://www.last.fm/music/Aasif+Sayar+Mewati"">Read more on Last.fm</a>",8,9,[]
595,Sazqia Rayani," <a href=""https://www.last.fm/music/Sazqia+Rayani"">Read more on Last.fm</a>",46,140,"['Arief', 'Syahriyadi', 'Yollanda', 'Aprilian', 'Randa Putra']"
596,Raju Soren," <a href=""https://www.last.fm/music/Raju+Soren"">Read more on Last.fm</a>",55,530,"['Stephan Tudu', 'Shivendra Murmu', 'Santhali Diwana', 'Ram Mardi', 'Dingra Boyz']"
597,Charan Raj," <a href=""https://www.last.fm/music/Charan+Raj"">Read more on Last.fm</a>",1205,28855,"['Vasuki Vaibhav', 'Sanjith Hegde', 'B. Ajaneesh Loknath', 'All OK', 'Rahul Dit-O']"
598,Nathan Lms," <a href=""https://www.last.fm/music/Nathan+Lms"">Read more on Last.fm</a>",252,2624,"['Chingkhei Changgammayum', 'Abhisek Tongbram', 'Chand Ningthou', 'Scarxiom', 'Shei-Huum']"
599,Patrick Dimon," <a href=""https://www.last.fm/music/Patrick+Dimon"">Read more on Last.fm</a>",1189,7493,"[""Trepidant's"", 'Montana Country', 'Decada Explosiva', 'Steve MacLean', 'Terry Winter']"
600,Hugo & Vitor," <a href=""https://www.last.fm/music/Hugo+"">Read more on Last.fm</a>",0,0,[]
601,Vinay Nayak," <a href=""https://www.last.fm/music/Vinay+Nayak"">Read more on Last.fm</a>",71,219,"['Jignesh Barot', 'Vijay Jornang', 'Kirtidan Gadhvi', 'Santvani Trivedi', 'Jignesh Kaviraj']"
602,Sandeep Roy," <a href=""https://www.last.fm/music/sandeep+roy"">Read more on Last.fm</a>",13,1682,[]
603,Aditya Yadav," <a href=""https://www.last.fm/music/Aditya+Yadav"">Read more on Last.fm</a>",3182,22040,"['Stebin Ben', 'Prashant Katheriya', 'Saaj Bhatt', 'Shivai Vyas', 'siddharth slathia']"
604,Abhijit Majumdar," <a href=""https://www.last.fm/music/Abhijit+Majumdar"">Read more on Last.fm</a>",132,722,"['Kumar Bapi', 'Humane Sagar', 'Ira Mohanty', 'Namita Agrawal', 'Asima Panda']"
605,João Gabriel," <a href=""https://www.last.fm/music/+noredirect/Jo%C3%A3o+Gabriel"">Read more on Last.fm</a>",18488,59230,"['Mariana & Mateus', 'Kleo Dibah & Rafael', 'Gabriel Gava', 'Breno & Caio Cesar', 'Carlos & Jader']"
606,Jendral Kantjil," <a href=""https://www.last.fm/music/Jendral+Kantjil"">Read more on Last.fm</a>",213,745,"['pyong pyong', 'KarnaMereka', 'Superglad', 'MCPR', 'Still Virgin']"
607,Roshan Vaishnav," <a href=""https://www.last.fm/music/Roshan+Vaishnav"">Read more on Last.fm</a>",34,110,[]
608,Ades Sadewa," <a href=""https://www.last.fm/music/Ades+Sadewa"">Read more on Last.fm</a>",14,56,[]
609,Mantu Chhuria," <a href=""https://www.last.fm/music/Mantu+Chhuria"">Read more on Last.fm</a>",290,2445,"['Aseema Panda', 'Humane Sagar', 'Bijay Anand Sahu', 'Kuldeep Pattanaik', 'Umakant Barik']"
610,Rajneesh Patel," <a href=""https://www.last.fm/music/Rajneesh+Patel"">Read more on Last.fm</a>",132,701,"['Preet Bandre', 'Prashant Nakti', 'Vaishali Samant', 'Swapnil Bandodkar', 'Shubhangii Kedar']"
611,Aashish Yadav," <a href=""https://www.last.fm/music/Aashish+Yadav"">Read more on Last.fm</a>",121,379,"['Samar Singh', 'Neelkamal Singh', 'Gunjan Singh', 'Khesari Lal Yadav', 'Tuntun Yadav']"
612,Royal Vashisth," <a href=""https://www.last.fm/music/Royal+Vashisth"">Read more on Last.fm</a>",5,12,[]
613,Vk Bhuriya," <a href=""https://www.last.fm/music/Vk+Bhuriya"">Read more on Last.fm</a>",108,167,[]
614,Manu Lafer,"Manu Lafer, compositor, cantor e médico pediatra, autor de mais de 300 canções, mais de 100 delas gravadas, explora os ritmos brasileiros e americanos com melodias e harmonias originais por revelarem diversas fontes. Em seus trabalhos autorais, tais como cds, shows, dvd ou clip, contou com a colaboração de arranjadores intérpretes e autores. No Brasil trabalhou com Danilo Caymmi, Dori Caymmi, Nana Caymmi, Luiz Tatit, Ná Ozzetti, Germano Mathias <a href=""https://www.last.fm/music/Manu+Lafer"">Read more on Last.fm</a>",1282,5424,"['Lica Cecato', 'Roseli Martins', 'Gustavo Souza', 'Folia de 3', 'Theo de Barros']"
615,RB Gujjar," <a href=""https://www.last.fm/music/RB+Gujjar"">Read more on Last.fm</a>",254,1456,"['Khasa Aala Chahar', 'Fazilpuria', 'Raj Mawar', 'R Maan', 'Gajender Phogat']"
616,Sumit Singh Chandravanshi," <a href=""https://www.last.fm/music/Sumit+Singh+Chandravanshi"">Read more on Last.fm</a>",45,67,"['Shilpi Raj', 'Ankush Raja', 'Samar Singh', 'Khesari Lal Yadav', 'Neelkamal Singh']"
617,Sricharan Mohanty," <a href=""https://www.last.fm/music/Sricharan+Mohanty"">Read more on Last.fm</a>",34,116,"['Humane Sagar', 'Kuldeep Pattnaik', 'Abinash Dash', 'Namita Agrawal']"
618,Neha Raj," <a href=""https://www.last.fm/music/Neha+Raj"">Read more on Last.fm</a>",132,2352,"['Chaman Srivastava', 'Pankaj Puri', 'Shailesh Premi', 'Sunita Yadav', 'Alwela Ashok']"
619,Kinjal Dave," <a href=""https://www.last.fm/music/Kinjal+Dave"">Read more on Last.fm</a>",1324,10836,"['Geeta Rabari', 'Kirtidan Ghadhavi', 'Aishwarya Majmudar', 'Kirtidan Gadhvi', 'Jigardan Gadhavi']"
620,Uendel Pinheiro," <a href=""https://www.last.fm/music/Uendel+Pinheiro"">Read more on Last.fm</a>",2090,23043,"['Gustavo Lins', 'Tentasamba', 'Kiloucura', 'Waguinho', 'Chininha']"
621,Hozan Muzaffer," <a href=""https://www.last.fm/music/HOZAN+MUZAFFER"">Read more on Last.fm</a>",42,437,"['Cansever', 'Koma Amed', 'Şehribana Kurdi', 'bismilli zeko', 'Grup Seyran']"
622,Analaga,"Eduardo Borges de Souza, better known as Dudu Borges and, in some cases, by the artistic name Analaga (Campo Grande, March 28, 1983), is a Brazilian multi-instrumentalist, composer, arranger, and music producer.

He is a former member of the Christian rock band Resgate, in which he participated from 2002 to 2012, acting as a keyboardist, composer, and music producer. However, most of his notoriety was acquired by working with artists in the sertanejo music scene <a href=""https://www.last.fm/music/ANALAGA"">Read more on Last.fm</a>",46509,319389,"['Black Days', 'Danna Lisboa', 'Mariana Rios', 'Francinne', 'Dreicon']"
623,Wassi Wanted Mewati," <a href=""https://www.last.fm/music/Wassi+Wanted+Mewati"">Read more on Last.fm</a>",2,3,[]
624,Alex e Leandro," <a href=""https://www.last.fm/music/alex+e+leandro"">Read more on Last.fm</a>",505,1667,"['Mayke & Rodrigo', 'Mariana & Mateus', 'Adriano Rhod', 'Bruno & Denner', 'PH e Michel']"
625,Bhungar Khan," <a href=""https://www.last.fm/music/Bhungar+Khan"">Read more on Last.fm</a>",68,2210,"['Memraj Lawa Thadiya', 'Ajit Babu', 'Kanaram Depan', 'Ramjatan Mukhiya', 'Tahseem Dehangal']"
626,Skd Raj," <a href=""https://www.last.fm/music/Skd+Raj"">Read more on Last.fm</a>",22,82,"['Tuntun Yadav', 'Chandan Chanchal', 'Neelkamal Singh', 'Samar Singh', 'Shivani Singh']"
627,Los Alfiles," <a href=""https://www.last.fm/music/Los+Alfiles"">Read more on Last.fm</a>",219,974,"['Los Moros', 'Los Linces', 'Siete Lunas', 'Daniel Agostini', 'Miguel Alejandro']"
628,Dhruba Basumatary," <a href=""https://www.last.fm/music/Dhruba+Basumatary"">Read more on Last.fm</a>",124,720,"['Tanmoy Saikia', 'Bhaskar Opswel', 'Tavreed', 'Dyou', 'Prabin Borah']"
629,Jyotirmayee Nayak," <a href=""https://www.last.fm/music/Jyotirmayee+Nayak"">Read more on Last.fm</a>",22,42,[]
630,Rahmat Tahalu," <a href=""https://www.last.fm/music/Rahmat+Tahalu"">Read more on Last.fm</a>",1340,7091,"['VinKy YT', 'Sahrul Ckn', 'Dariz RMX', 'Dj Komang Rimex', 'DJ Haning']"
631,Rambun Pamenan," <a href=""https://www.last.fm/music/Rambun+Pamenan"">Read more on Last.fm</a>",8,22,[]
632,Cough Cool,"coughcool.tumblr.com
 <a href=""https://www.last.fm/music/Cough+Cool"">Read more on Last.fm</a>",14418,117065,"['Jeans Wilder', 'Reading Rainbow', 'Girls In The Eighties', 'Campfires', 'Emily Reo']"
633,Mohan Bisht," <a href=""https://www.last.fm/music/Mohan+Bisht"">Read more on Last.fm</a>",21,119,"['Laver Girl Puja Pandey', 'Aashiq Anil', 'Chhotu Chhurchhuri', 'Pankaj Verma', 'Sanjay Verma']"
634,苏星婕," <a href=""https://www.last.fm/music/%E8%8B%8F%E6%98%9F%E5%A9%95"">Read more on Last.fm</a>",15592,227750,"['云汐', '蓝心羽', '颜人中', '汪苏泷', '不是花火呀']"
635,Kuldeep Pattanaik," <a href=""https://www.last.fm/music/Kuldeep+Pattanaik"">Read more on Last.fm</a>",189,1381,"['Kuldeep Pattnaik', 'Humane Sagar', 'Anshuman Satapathy', 'Abinash Dash', 'Subhrajit Mohanty']"
636,Naeem Hazarvi," <a href=""https://www.last.fm/music/Naeem+Hazarvi"">Read more on Last.fm</a>",443,3117,"['Zeeshan Khan Rokhri', 'Abrar-Ul-Haq', 'Naseebo Lal', 'Sahir Ali Bagga', 'Noor Jehan']"
637,Arvind Akela Kallu Ji,"Born on 26 July 1997, Arvind Akela (Kallu) is an Indian actor who is known for his Bhojpuri songs 'Murga Bechain Bate' and 'Choliya Ke Huk Raja Ji' , He is the most popular singer in the Bhojpuri Industry with fans worldwide. <a href=""https://www.last.fm/music/Arvind+Akela+Kallu+Ji"">Read more on Last.fm</a>",3510,20826,"['Neelkamal Singh', 'Khesari Lal Yadav', 'Shivani Singh', 'R Jay Kang', 'Ritesh Pandey']"
638,Zinti Panging," <a href=""https://www.last.fm/music/Zinti+Panging"">Read more on Last.fm</a>",1,1,[]
639,Rdx Annu Mewati," <a href=""https://www.last.fm/music/Rdx+Annu+Mewati"">Read more on Last.fm</a>",1,1,[]
640,Hrishikesh Ranade," <a href=""https://www.last.fm/music/Hrishikesh+Ranade"">Read more on Last.fm</a>",1572,13494,"['Swapnil Bandodkar', 'Avinash Vishwajeet', 'Amitraj', 'Harsh Wavre', 'Jaanvee Prabhu Arora']"
641,Karishma Kakkar," <a href=""https://www.last.fm/music/Karishma+Kakkar"">Read more on Last.fm</a>",31,55,"['Indu Sonali', 'Rakesh Mishra', 'Neelkamal Singh', 'Shivani Singh', 'Ankush Raja']"
642,Gunjan Dangwal," <a href=""https://www.last.fm/music/Gunjan+Dangwal"">Read more on Last.fm</a>",353,2246,"['Rohit Chauhan', 'Kishan Mahipal', 'Darshan Farswan', 'Karishma Shah', 'Vivek Nautiyal']"
643,Kash beatz," <a href=""https://www.last.fm/music/Kash+beatz"">Read more on Last.fm</a>",69,180,[]
644,Pinky saikhom," <a href=""https://www.last.fm/music/Pinky+saikhom"">Read more on Last.fm</a>",70,633,[]
645,Kevin N," <a href=""https://www.last.fm/music/Kevin+N"">Read more on Last.fm</a>",34,144,[]
646,Vicky Kachhap," <a href=""https://www.last.fm/music/Vicky+Kachhap"">Read more on Last.fm</a>",28,138,"['Suman Gupta', 'Nagpuri Diwana', 'Vinay Kumar', 'Manoj Sahri', 'L3AD']"
647,Pallab Borax," <a href=""https://www.last.fm/music/Pallab+Borax"">Read more on Last.fm</a>",3,4,[]
648,Priti sachin tompe," <a href=""https://www.last.fm/music/Priti+sachin+tompe"">Read more on Last.fm</a>",1,1,[]
649,Nooran Lal," <a href=""https://www.last.fm/music/Nooran+Lal"">Read more on Last.fm</a>",485,3218,"['Nafees', 'Attaullah Khan Esakhelvi', 'Naseebo Lal', 'Nadeem Abbas Lunewala', 'Mannat Noor']"
650,Rini Chandra," <a href=""https://www.last.fm/music/Rini+Chandra"">Read more on Last.fm</a>",170,638,"['Jigardan Gadhavi', 'Aishwarya Majmudar', 'Sonu Kanwar', 'Umesh Barot', 'SP Jodha']"
651,Andrew Kishore," <a href=""https://www.last.fm/music/Andrew+Kishore"">Read more on Last.fm</a>",642,4306,"['Sabina Yasmin', 'Kumar Bishwajit', 'Shahnaz Rahmatullah', 'Syed Abdul Hadi', 'Subir Nandi']"
652,Wayne Toups,"Wayne Toups http://www.waynetoups.com (born October 2, 1958 in Lafayette, Louisiana) is one of the most commercially successful American Cajun singers. He is also a songwriter.

Wayne Toups was born into a family of rice farmers in Crowley, Louisiana. He first picked up an accordion when he was 13 and quickly began winning local accordion contests. Toups has combined his love of Cajun music, rock, R&B, and zydeco into a genre he calls Zydecajun. He sings in both English and French. <a href=""https://www.last.fm/music/Wayne+Toups"">Read more on Last.fm</a>",6792,76182,"['Zydecajun', 'Wayne Toups & Zydecajun', ""Jamie Bergeron & The Kickin' Cajuns"", 'Horace Trahan', 'Travis Matte and the Zydeco Kingpins']"
653,Harshavardhan Wavare," <a href=""https://www.last.fm/music/Harshavardhan+Wavare"">Read more on Last.fm</a>",783,2897,"['Avinash Vishwajeet', 'Amitraj', 'Swapnil Bandodkar', 'Hrishikesh Ranade', 'Aarya Ambekar']"
654,Conduta Zero 92," <a href=""https://www.last.fm/music/Conduta+Zero+92"">Read more on Last.fm</a>",687,10134,"['Gabi Farias', 'Regional Vermelho E Branco', 'Arlindo Junior', 'Canto Da Mata', 'Casa de Caba']"
655,Dikshit Parasher," <a href=""https://www.last.fm/music/Dikshit+Parasher"">Read more on Last.fm</a>",144,956,"['Miki Malang', 'Billa Sonipat Ala', 'Khasa Aala Chahar', 'Amanraj Gill', 'Rahul Kadyan']"
656,Krystyna Prońko,"Krystyna Prońko (born January 14, 1947 in Gorzów Wielkopolski, Poland) - Polish jazz singer and composer.

After finishing school of chemical engineering, she studied Jazz Music at University of Music in Katowice. She debuted in 1969 and worked with bands such as Refleks, Respekt, Skaldowie,  ABC, Czerwone Gitary. In 1979-1981 she worked as a pedagog at The Karol Szymanowski Academy of Music in Katowice. Most recently she sits on the jury in TVP1's TV Show ""Śpiewaj i walcz"" <a href=""https://www.last.fm/music/+noredirect/Krystyna+Pro%C5%84ko"">Read more on Last.fm</a>",35917,437980,"['Anna Jurksztowicz', 'Anna Jantar', 'Andrzej Zaucha', 'Maanam', 'Skaldowie']"
657,Swapneel Jaiswal," <a href=""https://www.last.fm/music/Swapneel+Jaiswal"">Read more on Last.fm</a>",347,1057,"['Stebin Ben', 'Rahul Jain', 'Raj Barman', 'siddharth slathia', 'Saaj Bhatt']"
658,Sanjeeb Kumar," <a href=""https://www.last.fm/music/Sanjeeb+Kumar"">Read more on Last.fm</a>",20,29,[]
659,Bablu Ankiya," <a href=""https://www.last.fm/music/Bablu+Ankiya"">Read more on Last.fm</a>",59,152,"['Kapil Jangir', 'Jugraj Sandhu', 'Karan Randhawa', 'Sharry Mann', 'Seema Mishra']"
660,Ananya Sritam Nanda," <a href=""https://www.last.fm/music/Ananya+Sritam+Nanda"">Read more on Last.fm</a>",64,146,"['Humane Sagar', 'Babushaan Mohanty', 'Swayam Padhi', 'Subhrajit Mohanty', 'Kuldeep Pattanaik']"
661,Shankar Tantubai," <a href=""https://www.last.fm/music/Shankar+Tantubai"">Read more on Last.fm</a>",34,128,"['CHANDANA DIXIT', 'Uttam Singh', 'Altaf Raja', 'Jisan Khan Shuvo', 'Babul Supriyo']"
662,Hozan Reşo," <a href=""https://www.last.fm/music/Hozan+Re%C5%9Fo"">Read more on Last.fm</a>",484,6103,"['Şiyar Berwari', 'Aram Serhad', 'Tufan Derince', 'Elif û Remzi', 'Burhan Toprak']"
663,Mahesh Vanzara," <a href=""https://www.last.fm/music/Mahesh+Vanzara"">Read more on Last.fm</a>",161,976,"['Jignesh Barot', 'Vipul Susra', 'Umesh Barot', 'Rajesh Ahir', 'Pintu Algotar']"
664,Nando Moreno," <a href=""https://www.last.fm/music/NANDO+MORENO"">Read more on Last.fm</a>",7135,33141,"['Edy Britto & Samuel', 'Emílio & Eduardo', 'Bruno & Denner', 'Renan e Ray', 'Mayck & Lyan']"
665,Ankit Agrawal," <a href=""https://www.last.fm/music/Ankit+Agrawal"">Read more on Last.fm</a>",41,137,"['Neel Kamal Singh', 'Gunjan Singh', 'Shilpi Raj', 'Neelkamal Singh', 'Ankush Raja']"
666,Awanish Babu," <a href=""https://www.last.fm/music/Awanish+Babu"">Read more on Last.fm</a>",84,267,"['Shilpi Raj', 'Neelkamal Singh', 'Khesari Lal Yadav', 'Ritesh Pandey', 'Samar Singh']"
667,DJ Qhelfin," <a href=""https://www.last.fm/music/DJ+Qhelfin"">Read more on Last.fm</a>",947,4983,"['Kapthenpurek', 'New Gvme', 'Anak Kompleks', 'Omcon SB', 'Angga Dermawan']"
